date,time,SFS_Reg_Uc,SFS_Meas_IfRel,SFS_Meas_UgRel,SFS_Meas_UfRel,SFS_Meas_IgRel,SFS_Meas_QRel,SFS_Meas_PRel,SFS_SM_iStatusSignals
20.09.2015,14:01:22.1348128,0.972242089,0.511734342,0.986357374,0.389433539,0.095133762,-0.000721879,0.093638052,34154
20.09.2015,14:01:22.1397242,0.974803637,0.511762599,0.986302029,0.384095546,0.095304355,-0.000825005,0.093741178,34154
20.09.2015,14:01:22.1445292,0.996719039,0.511802592,0.986246684,0.384359128,0.09564554,-0.000825005,0.094050555,34154
20.09.2015,14:01:22.1493946,0.953235018,0.511802592,0.986412719,0.384359128,0.09564554,-0.000825005,0.094256806,34154
20.09.2015,14:01:22.1541794,1.010851111,0.511778019,0.986191339,0.382590731,0.095816132,-0.000721879,0.094256806,34154
20.09.2015,14:01:22.1588824,0.958378544,0.511747497,0.986412719,0.378500574,0.09564554,-0.000825005,0.094256806,34154
20.09.2015,14:01:22.1637654,1.034377988,0.511747497,0.986080649,0.378500574,0.095418083,-0.000825005,0.094050555,34154
20.09.2015,14:01:22.1685806,0.971138879,0.511720134,0.986357374,0.381241829,0.095190626,-0.000825005,0.093844303,34154
20.09.2015,14:01:22.1733808,1.015722938,0.511656939,0.986135994,0.374350032,0.094792577,-0.000825005,0.093534927,34154
20.09.2015,14:01:22.1780934,1.008576632,0.511550226,0.986191339,0.393493557,0.094394528,-0.000825005,0.093122424,34154
20.09.2015,14:01:22.1829360,0.989617374,0.511550226,0.986246684,0.393493557,0.093769022,-0.000721879,0.092606796,34154
20.09.2015,14:01:22.1877820,1.022904742,0.511430247,0.986135994,0.370146774,0.093427837,-0.000721879,0.092091168,34154
20.09.2015,14:01:22.1925202,0.980820067,0.511433612,0.986302029,0.389522731,0.092802331,-0.000618754,0.091678666,34154
20.09.2015,14:01:22.1971786,1.051823293,0.511543481,0.986025304,0.387205816,0.092461146,-0.000618754,0.091163038,34154
20.09.2015,14:01:22.2021502,0.972798057,0.511543481,0.986357374,0.387205816,0.092233689,-0.000721879,0.090956786,34154
20.09.2015,14:01:22.2069578,1.029759722,0.511631887,0.986080649,0.38422558,0.092233689,-0.000721879,0.090853661,34154
20.09.2015,14:01:22.2117208,0.999776056,0.511681034,0.986246684,0.384984644,0.092290554,-0.000721879,0.090853661,34154
20.09.2015,14:01:22.2165158,1.002414496,0.511681034,0.986191339,0.384984644,0.092176825,-0.000618754,0.090853661,34154
20.09.2015,14:01:22.2213450,0.993496107,0.511724184,0.986246684,0.377393528,0.092404282,-0.000618754,0.090956786,34154
20.09.2015,14:01:22.2262098,0.975668081,0.511632621,0.986302029,0.381150454,0.092290554,-0.000515628,0.091059912,34154
20.09.2015,14:01:22.2307980,1.028788511,0.511565375,0.986080649,0.375882324,0.092461146,-0.000515628,0.091059912,34154
