date,time,SFS_Reg_Uc,SFS_Meas_IfRel,SFS_Meas_UgRel,SFS_Meas_UfRel,SFS_AVRSetpt_iSelInput
20.09.2015,10:54:25.0772706,0.94675177,0.508321479,1.000636366,0.36859116,1
20.09.2015,10:54:25.0820854,0.933343158,0.508321479,1.000691711,0.36859116,1
20.09.2015,10:54:25.0870004,0.960635046,0.508310954,1.000581021,0.362109273,1
20.09.2015,10:54:25.0916942,0.925050349,0.508364374,1.000747056,0.369747088,1
20.09.2015,10:54:25.0963364,0.972912944,0.508183273,1.000525676,0.363546675,1
20.09.2015,10:54:25.1013248,0.92145312,0.508183273,1.000747056,0.363546675,1
20.09.2015,10:54:25.1062102,0.959098005,0.508231686,1.000581021,0.364038695,1
20.09.2015,10:54:25.1108236,0.923781128,0.508192155,1.000747056,0.368159471,1
20.09.2015,10:54:25.1155510,0.946779124,0.508192155,1.000636366,0.368159471,1
20.09.2015,10:54:25.1204986,0.942914107,0.508211099,1.000636366,0.359845981,1
20.09.2015,10:54:25.1254186,0.928492936,0.508035387,1.000691711,0.378066914,1
20.09.2015,10:54:25.1301548,0.966669872,0.508190209,1.000525676,0.359807322,1
20.09.2015,10:54:25.1348330,0.924417585,0.508190209,1.000691711,0.359807322,1
20.09.2015,10:54:25.1397398,0.975237172,0.508146166,1.000470331,0.372968702,1
20.09.2015,10:54:25.1445708,0.919758498,0.508190321,1.000691711,0.360935454,1
20.09.2015,10:54:25.1493400,0.956811017,0.508190321,1.000525676,0.360935454,1
20.09.2015,10:54:25.1541280,0.932029525,0.508072893,1.000636366,0.378619905,1
20.09.2015,10:54:25.1588876,0.946271987,0.508256913,1.000581021,0.364347965,1
20.09.2015,10:54:25.1637328,0.948917382,0.50825763,1.000581021,0.376597031,1
20.09.2015,10:54:25.1685350,0.932377428,0.50825763,1.000636366,0.376597031,1
20.09.2015,10:54:25.1734304,0.962728252,0.508266656,1.000525676,0.353491891,1
20.09.2015,10:54:25.1781114,0.934684784,0.508161698,1.000636366,0.375073632,1
20.09.2015,10:54:25.1829776,0.972836059,0.50833674,1.000470331,0.369359542,1
20.09.2015,10:54:25.1877080,0.923144559,0.50833674,1.000691711,0.369359542,1
20.09.2015,10:54:25.1924986,0.962004179,0.508308483,1.000525676,0.373189898,1
20.09.2015,10:54:25.1971834,0.94119133,0.508421861,1.000636366,0.359800293,1
20.09.2015,10:54:25.2021304,0.948898412,0.508421861,1.000581021,0.359800293,1
20.09.2015,10:54:25.2069214,0.953503108,0.508378232,1.000581021,0.373757159,1
20.09.2015,10:54:25.2117416,0.942177176,0.508448586,1.000636366,0.361856234,1
20.09.2015,10:54:25.2163456,0.965652644,0.508409997,1.000525676,0.367335337,1
20.09.2015,10:54:25.2213428,0.928039285,0.508409997,1.000691711,0.367335337,1
20.09.2015,10:54:25.2261472,0.976625541,0.508364167,1.000470331,0.365936487,1
20.09.2015,10:54:25.2307460,0.935450251,0.508372874,1.000636366,0.366821591,1
20.09.2015,10:54:25.2355896,0.956363449,0.508372874,1.000525676,0.366821591,1
20.09.2015,10:54:25.2405506,0.934934913,0.508393572,1.000636366,0.366765893,1
20.09.2015,10:54:25.2453406,0.954947877,0.508366208,1.000525676,0.366948643,1
20.09.2015,10:54:25.2499372,0.941826419,0.508303173,1.000581021,0.373564504,1
20.09.2015,10:54:25.2549314,0.930626862,0.508303173,1.000636366,0.373564504,1
20.09.2015,10:54:25.2597596,0.958746713,0.508341236,1.000525676,0.373314766,1
20.09.2015,10:54:25.2645230,0.922005823,0.508444377,1.000691711,0.364383109,1
20.09.2015,10:54:25.2692702,0.959736299,0.508552381,1.000525676,0.36219362,1
20.09.2015,10:54:25.2741296,0.912598606,0.508552381,1.000747056,0.36219362,1
20.09.2015,10:54:25.2789488,0.949611978,0.508393189,1.000581021,0.370414244,1
20.09.2015,10:54:25.2836986,0.930319063,0.508364773,1.000691711,0.367022446,1
20.09.2015,10:54:25.2885108,0.940533487,0.508364773,1.000636366,0.367022446,1
20.09.2015,10:54:25.2933504,0.945332398,0.508248222,1.000636366,0.366857268,1
20.09.2015,10:54:25.2981758,0.93354195,0.508354615,1.000691711,0.363609935,1
20.09.2015,10:54:25.3028998,0.968951192,0.508185346,1.000525676,0.377756526,1
20.09.2015,10:54:25.3075982,0.928876694,0.508185346,1.000691711,0.377756526,1
20.09.2015,10:54:25.3123332,0.965684955,0.508360834,1.000525676,0.36018688,1
20.09.2015,10:54:25.3172608,0.929566029,0.508257646,1.000691711,0.370621169,1
20.09.2015,10:54:25.3221132,0.964697312,0.508257646,1.000525676,0.370621169,1
20.09.2015,10:54:25.3267248,0.940103161,0.508349034,1.000636366,0.36527226,1
20.09.2015,10:54:25.3315268,0.949655745,0.508198119,1.000581021,0.375405426,1
20.09.2015,10:54:25.3364336,0.95404082,0.50845707,1.000581021,0.359670259,1
20.09.2015,10:54:25.3413162,0.942126401,0.50845707,1.000636366,0.359670259,1
20.09.2015,10:54:25.3459250,0.970255129,0.508406281,1.000525676,0.376939528,1
20.09.2015,10:54:25.3507628,0.9333256,0.508465633,1.000691711,0.358542127,1
20.09.2015,10:54:25.3557472,0.955679357,0.508465633,1.000581021,0.358542127,1
20.09.2015,10:54:25.3604908,0.92435229,0.50825476,1.000747056,0.376011932,1
20.09.2015,10:54:25.3653002,0.957377161,0.50843079,1.000581021,0.361135776,1
20.09.2015,10:54:25.3702364,0.931427145,0.508365028,1.000691711,0.370382135,1
20.09.2015,10:54:25.3750038,0.94117251,0.508365028,1.000636366,0.370382135,1
20.09.2015,10:54:25.3797004,0.945906246,0.508380145,1.000636366,0.359508595,1
20.09.2015,10:54:25.3844984,0.922295924,0.50826074,1.000747056,0.378833965,1
20.09.2015,10:54:25.3893542,0.952692555,0.508278089,1.000636366,0.360271227,1
20.09.2015,10:54:25.3941958,0.915768936,0.508278089,1.000802401,0.360271227,1
20.09.2015,10:54:25.3989274,0.961889661,0.508260835,1.000581021,0.368230824,1
20.09.2015,10:54:25.4037450,0.914209203,0.508324461,1.000802401,0.357614318,1
20.09.2015,10:54:25.4084954,0.948552015,0.508324461,1.000636366,0.357614318,1
20.09.2015,10:54:25.4133480,0.937742854,0.50833489,1.000691711,0.370977937,1
20.09.2015,10:54:25.4181258,0.935758034,0.508342672,1.000691711,0.364309306,1
20.09.2015,10:54:25.4229348,0.953677087,0.508230059,1.000636366,0.36132907,1
20.09.2015,10:54:25.4275782,0.928497175,0.508230059,1.000747056,0.36132907,1
20.09.2015,10:54:25.4324986,0.965835396,0.508111467,1.000581021,0.369240477,1
20.09.2015,10:54:25.4372192,0.929407187,0.508118643,1.000747056,0.369354643,1
20.09.2015,10:54:25.4421294,0.960351785,0.508118643,1.000581021,0.369354643,1
20.09.2015,10:54:25.4467252,0.924985578,0.508201786,1.000747056,0.364657235,1
20.09.2015,10:54:25.4515832,0.957822507,0.508279429,1.000581021,0.357329649,1
20.09.2015,10:54:25.4564428,0.94602166,0.508168315,1.000636366,0.37309357,1
20.09.2015,10:54:25.4612854,0.955894306,0.508168315,1.000581021,0.37309357,1
20.09.2015,10:54:25.4661004,0.967408684,0.508109378,1.000525676,0.359684317,1
20.09.2015,10:54:25.4710690,0.94065112,0.508054172,1.000636366,0.374745406,1
20.09.2015,10:54:25.4757196,0.96627702,0.508185473,1.000525676,0.364955961,1
20.09.2015,10:54:25.4804768,0.91593239,0.508185473,1.000747056,0.364955961,1
20.09.2015,10:54:25.4853434,0.968493899,0.508104482,1.000525676,0.378487901,1
20.09.2015,10:54:25.4901812,0.921746859,0.508218801,1.000747056,0.369351075,1
20.09.2015,10:54:25.4947286,0.945730712,0.508218801,1.000636366,0.369351075,1
20.09.2015,10:54:25.4997222,0.943376637,0.508168283,1.000636366,0.361058459,1
20.09.2015,10:54:25.5044586,0.939797362,0.508291372,1.000636366,0.365560443,1
20.09.2015,10:54:25.5092000,0.952895524,0.508158891,1.000581021,0.372722532,1
20.09.2015,10:54:25.5139330,0.914583256,0.508158891,1.000747056,0.372722532,1
20.09.2015,10:54:25.5188640,0.970103762,0.50825653,1.000525676,0.37294016,1
20.09.2015,10:54:25.5237232,0.920773,0.50820496,1.000747056,0.359800293,1
20.09.2015,10:54:25.5284996,0.954524966,0.50820496,1.000581021,0.359800293,1
20.09.2015,10:54:25.5331788,0.918692474,0.508215181,1.000747056,0.361589138,1
20.09.2015,10:54:25.5380080,0.956562253,0.508037827,1.000581021,0.377214239,1
20.09.2015,10:54:25.5429570,0.940710697,0.508209377,1.000636366,0.364657235,1
20.09.2015,10:54:25.5477130,0.939377964,0.508209377,1.000636366,0.364657235,1
20.09.2015,10:54:25.5523408,0.964335143,0.50829638,1.000525676,0.369540162,1
20.09.2015,10:54:25.5572110,0.923764235,0.508321367,1.000691711,0.362815674,1
20.09.2015,10:54:25.5621262,0.974814454,0.508088983,1.000470331,0.381987793,1
20.09.2015,10:54:25.5669932,0.935614002,0.508088983,1.000636366,0.381987793,1
20.09.2015,10:54:25.5718388,0.971190775,0.508147218,1.000470331,0.358949801,1
20.09.2015,10:54:25.5764648,0.935137286,0.508163898,1.000636366,0.371534495,1
20.09.2015,10:54:25.5812932,0.946781192,0.508163898,1.000581021,0.371534495,1
20.09.2015,10:54:25.5862002,0.948871958,0.508207894,1.000581021,0.364987591,1
20.09.2015,10:54:25.5909440,0.936529363,0.508167821,1.000636366,0.372208786,1
20.09.2015,10:54:25.5955246,0.96382102,0.508216393,1.000525676,0.358696762,1
20.09.2015,10:54:25.6004968,0.935072308,0.508216393,1.000636366,0.358696762,1
20.09.2015,10:54:25.6054144,0.972889179,0.508215133,1.000470331,0.376026202,1
20.09.2015,10:54:25.6099264,0.923466352,0.508203636,1.000691711,0.358102823,1
20.09.2015,10:54:25.6147590,0.950419484,0.508203636,1.000581021,0.358102823,1
20.09.2015,10:54:25.6197178,0.931974657,0.508202073,1.000691711,0.377378353,1
20.09.2015,10:54:25.6245680,0.94000197,0.508354886,1.000636366,0.36360642,1
20.09.2015,10:54:25.6291752,0.940746683,0.508318306,1.000636366,0.370442785,1
20.09.2015,10:54:25.6339778,0.928005523,0.508318306,1.000691711,0.370442785,1
20.09.2015,10:54:25.6388698,0.955608971,0.508292505,1.000581021,0.355400227,1
20.09.2015,10:54:25.6437092,0.919177135,0.508257216,1.000747056,0.375202068,1
20.09.2015,10:54:25.6484966,0.956324699,0.508223282,1.000581021,0.361104146,1
20.09.2015,10:54:25.6532578,0.921625966,0.508223282,1.000747056,0.361104146,1
20.09.2015,10:54:25.6580642,0.955602395,0.508295024,1.000581021,0.368188012,1
20.09.2015,10:54:25.6629836,0.928838854,0.508207176,1.000691711,0.364815384,1
20.09.2015,10:54:25.6677284,0.950928348,0.508207176,1.000581021,0.364815384,1
20.09.2015,10:54:25.6726194,0.950122582,0.508289188,1.000581021,0.371548765,1
20.09.2015,10:54:25.6772944,0.936926245,0.508325848,1.000636366,0.365444467,1
20.09.2015,10:54:25.6821952,0.96424381,0.508384786,1.000525676,0.36157508,1
20.09.2015,10:54:25.6869424,0.927735735,0.508384786,1.000691711,0.36157508,1
20.09.2015,10:54:25.6917398,0.976484462,0.508281151,1.000470331,0.371652228,1
20.09.2015,10:54:25.6963380,0.935160196,0.508225259,1.000636366,0.368612566,1
20.09.2015,10:54:25.7013428,0.967768316,0.508225259,1.000470331,0.368612566,1
20.09.2015,10:54:25.7061572,0.944074491,0.508238941,1.000581021,0.369015128,1
20.09.2015,10:54:25.7107386,0.944945599,0.508354233,1.000581021,0.364495571,1
20.09.2015,10:54:25.7156164,0.948594303,0.508265555,1.000581021,0.370706793,1
20.09.2015,10:54:25.7205446,0.936392693,0.508265555,1.000636366,0.370706793,1
20.09.2015,10:54:25.7253468,0.964155512,0.508299234,1.000525676,0.362320139,1
20.09.2015,10:54:25.7299414,0.927847118,0.508199969,1.000691711,0.371805638,1
20.09.2015,10:54:25.7347962,0.96120992,0.508357167,1.000525676,0.36456586,1
20.09.2015,10:54:25.7397520,0.928538101,0.508357167,1.000691711,0.36456586,1
20.09.2015,10:54:25.7445562,0.960099466,0.508167773,1.000525676,0.373714346,1
20.09.2015,10:54:25.7491880,0.927890169,0.508314399,1.000691711,0.359635115,1
20.09.2015,10:54:25.7541146,0.939725076,0.508314399,1.000636366,0.359635115,1
20.09.2015,10:54:25.7589888,0.9453318,0.508211689,1.000636366,0.37058906,1
20.09.2015,10:54:25.7637302,0.929431902,0.50834004,1.000691711,0.365778338,1
20.09.2015,10:54:25.7684662,0.956266834,0.508243629,1.000581021,0.375148553,1
20.09.2015,10:54:25.7733410,0.919071808,0.508243629,1.000747056,0.375148553,1
20.09.2015,10:54:25.7781596,0.95705923,0.508430535,1.000581021,0.358760022,1
20.09.2015,10:54:25.7829056,0.920902402,0.508374835,1.000747056,0.371684337,1
20.09.2015,10:54:25.7877172,0.951980017,0.508374835,1.000581021,0.371684337,1
